Country,Date,Continent,TotalCases,TotalDeaths
Colombia,2020-04-15,South America,3105,131
Colombia,2020-04-16,South America,3233,144
Colombia,2020-04-17,South America,3439,153
Colombia,2020-04-18,South America,3621,166
Colombia,2020-04-19,South America,3792,179
Colombia,2020-04-20,South America,3977,189
Colombia,2020-04-21,South America,4149,196
Colombia,2020-04-22,South America,4356,206
Colombia,2020-04-23,South America,4561,215
Colombia,2020-04-24,South America,4881,225
Colombia,2020-04-25,South America,5142,233
Colombia,2020-04-26,South America,5379,244
Colombia,2020-04-27,South America,5597,253
Colombia,2020-04-28,South America,5949,269
Colombia,2020-04-29,South America,6207,278
Colombia,2020-04-30,South America,6507,293
Colombia,2020-05-01,South America,7006,314
Colombia,2020-05-02,South America,7285,324
Colombia,2020-05-03,South America,7668,340
Colombia,2020-05-04,South America,7973,358
Colombia,2020-05-05,South America,8613,378
Colombia,2020-05-06,South America,8959,397
Colombia,2020-05-07,South America,9456,407
Colombia,2020-05-08,South America,10051,428
Colombia,2020-05-09,South America,10495,445
Colombia,2020-05-10,South America,11063,463
Colombia,2020-05-11,South America,11613,479
Colombia,2020-05-12,South America,12272,493
Colombia,2020-05-13,South America,12930,509
Colombia,2020-05-14,South America,13610,525
Colombia,2020-05-15,South America,14216,546
Colombia,2020-05-16,South America,14939,562
Colombia,2020-05-17,South America,15574,574
Colombia,2020-05-18,South America,16295,592
Colombia,2020-05-19,South America,16935,613
Colombia,2020-05-20,South America,17687,630
Colombia,2020-05-21,South America,18330,652
Colombia,2020-05-22,South America,19131,682
Colombia,2020-05-23,South America,20177,705
Colombia,2020-05-24,South America,21175,727
Colombia,2020-05-25,South America,21981,750
Colombia,2020-05-26,South America,23003,776
Colombia,2020-05-27,South America,24104,803
Colombia,2020-05-28,South America,25366,822
Colombia,2020-05-29,South America,26688,853
Colombia,2020-05-30,South America,28236,890
Colombia,2020-05-31,South America,29383,939
Colombia,2020-06-01,South America,30493,969
Colombia,2020-06-02,South America,31833,1009
Colombia,2020-06-03,South America,33354,1045
Colombia,2020-06-04,South America,35120,1087
Colombia,2020-06-05,South America,36635,1145
Costa Rica,2020-02-15,North America,0,0
Costa Rica,2020-02-16,North America,0,0
Costa Rica,2020-02-17,North America,0,0
Costa Rica,2020-02-18,North America,0,0
Costa Rica,2020-02-19,North America,0,0
Costa Rica,2020-02-20,North America,0,0
Costa Rica,2020-02-21,North America,0,0
Costa Rica,2020-02-22,North America,0,0
Costa Rica,2020-02-23,North America,0,0
Costa Rica,2020-02-24,North America,0,0
Costa Rica,2020-02-25,North America,0,0
Costa Rica,2020-02-26,North America,0,0
Costa Rica,2020-02-27,North America,0,0
Costa Rica,2020-02-28,North America,0,0
Costa Rica,2020-02-29,North America,0,0
Costa Rica,2020-03-01,North America,0,0
Costa Rica,2020-03-02,North America,0,0
Costa Rica,2020-03-03,North America,0,0
Costa Rica,2020-03-04,North America,0,0
Costa Rica,2020-03-05,North America,1,0
Costa Rica,2020-03-06,North America,1,0
Costa Rica,2020-03-07,North America,1,0
Costa Rica,2020-03-08,North America,9,0
Costa Rica,2020-03-09,North America,9,0
Costa Rica,2020-03-10,North America,13,0
Costa Rica,2020-03-11,North America,22,0
Costa Rica,2020-03-12,North America,23,0
Costa Rica,2020-03-13,North America,23,0
Costa Rica,2020-03-14,North America,27,0
Costa Rica,2020-03-15,North America,35,0
Costa Rica,2020-03-16,North America,41,0
Costa Rica,2020-03-17,North America,50,0
Costa Rica,2020-03-18,North America,69,1
Costa Rica,2020-03-19,North America,87,1
Costa Rica,2020-03-20,North America,113,2
Costa Rica,2020-03-21,North America,117,2
Costa Rica,2020-03-22,North America,134,2
Costa Rica,2020-03-23,North America,158,2
Costa Rica,2020-03-24,North America,177,2
Costa Rica,2020-03-25,North America,201,2
Costa Rica,2020-03-26,North America,231,2
Costa Rica,2020-03-27,North America,263,2
Costa Rica,2020-03-28,North America,295,2
Costa Rica,2020-03-29,North America,314,2
Costa Rica,2020-03-30,North America,330,2
Costa Rica,2020-03-31,North America,347,2
Costa Rica,2020-04-01,North America,375,2
Costa Rica,2020-04-02,North America,396,2
Costa Rica,2020-04-03,North America,416,2
Costa Rica,2020-04-04,North America,435,2
Costa Rica,2020-04-05,North America,454,2
Costa Rica,2020-04-06,North America,467,2
Costa Rica,2020-04-07,North America,483,2
Costa Rica,2020-04-08,North America,502,3
Costa Rica,2020-04-09,North America,539,3
Costa Rica,2020-04-10,North America,558,3
Costa Rica,2020-04-11,North America,577,3
Costa Rica,2020-04-12,North America,595,3
Costa Rica,2020-04-13,North America,612,3
Costa Rica,2020-04-14,North America,618,3
Costa Rica,2020-04-15,North America,626,4
Costa Rica,2020-04-16,North America,642,4
Costa Rica,2020-04-17,North America,649,4
Costa Rica,2020-04-18,North America,655,4
Costa Rica,2020-04-19,North America,660,5
Costa Rica,2020-04-20,North America,662,6
Costa Rica,2020-04-21,North America,669,6
Costa Rica,2020-04-22,North America,681,6
Costa Rica,2020-04-23,North America,686,6
Costa Rica,2020-04-24,North America,687,6
Costa Rica,2020-04-25,North America,693,6
Costa Rica,2020-04-26,North America,695,6
Costa Rica,2020-04-27,North America,697,6
Costa Rica,2020-04-28,North America,705,6
Costa Rica,2020-04-29,North America,713,6
Costa Rica,2020-04-30,North America,719,6
Costa Rica,2020-05-01,North America,725,6
Costa Rica,2020-05-02,North America,733,6
Costa Rica,2020-05-03,North America,739,6
Costa Rica,2020-05-04,North America,742,6
Costa Rica,2020-05-05,North America,755,6
Costa Rica,2020-05-06,North America,761,6
Costa Rica,2020-05-07,North America,765,6
Costa Rica,2020-05-08,North America,773,6
Costa Rica,2020-05-09,North America,780,6
Costa Rica,2020-05-10,North America,792,6
Costa Rica,2020-05-11,North America,801,7
Costa Rica,2020-05-12,North America,804,7
Costa Rica,2020-05-13,North America,815,7
Costa Rica,2020-05-14,North America,830,8
Costa Rica,2020-05-15,North America,843,9
